name,mass,GeoLocation
Elephant Moraine 87718,5.8,"(-76.183330, 157.166670)"
Elephant Moraine 87719,65.7,"(-76.266470, 156.494360)"
Elephant Moraine 87720,91.3,"(-76.183330, 157.166670)"
Elephant Moraine 87721,13.9,"(-76.282410, 156.459920)"
Elephant Moraine 87722,21.8,"(-76.183330, 157.166670)"
Elephant Moraine 87723,27.9,"(-76.284780, 156.454860)"
Elephant Moraine 87724,115.0,"(-76.268810, 156.482780)"
Elephant Moraine 87725,12.5,"(-76.271520, 156.482770)"
Elephant Moraine 87726,82.5,"(-76.183330, 157.166670)"
Elephant Moraine 87727,28.5,"(-76.282220, 156.453200)"
Elephant Moraine 87728,3.4,"(-76.271380, 157.202110)"
Elephant Moraine 87729,1.4,"(-76.042900, 156.096170)"
Elephant Moraine 87730,70.40000000000002,"(-76.183330, 157.166670)"
Elephant Moraine 87731,8.3,"(-76.268250, 156.462690)"
Elephant Moraine 87732,4.2,"(-76.183330, 157.166670)"
Elephant Moraine 87733,26.9,"(-76.279470, 156.456330)"
Elephant Moraine 87734,7.2,"(-76.183330, 157.166670)"
Elephant Moraine 87735,4.2,"(-76.273660, 156.476000)"
Elephant Moraine 87736,3.3,"(-76.272590, 156.483540)"
Elephant Moraine 87737,24.9,"(-76.283570, 156.450250)"
Elephant Moraine 87738,3.0,"(-76.271070, 156.472640)"
Elephant Moraine 87739,8.4,"(-76.284620, 156.451290)"
Elephant Moraine 87740,39.0,"(-76.264940, 157.100530)"
Elephant Moraine 87741,39.0,"(-76.280380, 156.452360)"
Elephant Moraine 87742,19.6,"(-76.283610, 157.195240)"
Elephant Moraine 87743,53.6,"(-76.284240, 156.451300)"
Elephant Moraine 87744,129.8,"(-76.183330, 157.166670)"
Elephant Moraine 87745,123.0,"(-76.183330, 157.166670)"
Elephant Moraine 87746,142.3,"(-76.183330, 157.166670)"
Elephant Moraine 87747,38.2,"(-76.047180, 156.076700)"
Elephant Moraine 87748,3.9,"(-76.282370, 156.449560)"
Elephant Moraine 87749,4.0,"(-76.265340, 156.504120)"
Elephant Moraine 87750,23.1,"(-76.283800, 156.455640)"
Elephant Moraine 87751,3.2,"(-76.183330, 157.166670)"
Elephant Moraine 87752,9.2,"(-76.267960, 156.513780)"
Elephant Moraine 87753,7.8,"(-76.285280, 156.454380)"
Elephant Moraine 87754,34.4,"(-76.274420, 156.492500)"
Elephant Moraine 87755,88.4,"(-76.045300, 156.475530)"
Elephant Moraine 87756,170.5,"(-76.275590, 156.502640)"
Elephant Moraine 87757,54.8,"(-76.183330, 157.166670)"
Elephant Moraine 87758,38.1,"(-76.183330, 157.166670)"
Elephant Moraine 87759,110.8,"(-76.183330, 157.166670)"
Elephant Moraine 87760,19.4,"(-76.282350, 156.453560)"
Elephant Moraine 87761,12.5,"(-76.282240, 156.459860)"
Elephant Moraine 87762,27.4,"(-76.183330, 157.166670)"
Elephant Moraine 87763,26.5,"(-76.281910, 156.458980)"
Elephant Moraine 87764,38.7,"(-76.283030, 156.453560)"
Elephant Moraine 87765,41.4,"(-76.282650, 157.174200)"
Elephant Moraine 87766,18.9,"(-76.282630, 156.454950)"
Elephant Moraine 87767,27.9,"(-76.183330, 157.166670)"
Elephant Moraine 87768,58.6,"(-76.307840, 157.313260)"
Elephant Moraine 87769,13.9,"(-76.285270, 156.452180)"
Elephant Moraine 87770,38.6,"(-76.036990, 156.027330)"
Elephant Moraine 87771,56.6,"(-76.283640, 157.186550)"
Elephant Moraine 87772,23.9,"(-76.052240, 156.433640)"
Elephant Moraine 87773,18.4,"(-76.183330, 157.166670)"
Elephant Moraine 87774,65.6,"(-76.266230, 157.162380)"
Elephant Moraine 87775,16.8,"(-76.282620, 156.456660)"
Elephant Moraine 87776,29.9,"(-76.266820, 156.465710)"
Elephant Moraine 87777,8.4,"(-76.183330, 157.166670)"
Elephant Moraine 87778,161.7,"(-76.183330, 157.166670)"
Elephant Moraine 87779,21.6,"(-76.282920, 156.456290)"
Elephant Moraine 87780,18.4,"(-76.281450, 156.461000)"
Elephant Moraine 87781,10.8,"(-76.041420, 156.095410)"
Elephant Moraine 87782,7.1,"(-76.183330, 157.166670)"
Elephant Moraine 87783,5.3,"(-76.281250, 156.452220)"
Elephant Moraine 87784,15.1,"(-76.281540, 156.456680)"
Elephant Moraine 87785,14.1,"(-76.183330, 157.166670)"
Elephant Moraine 87786,0.6,"(-76.183330, 157.166670)"
Elephant Moraine 87787,20.8,"(-76.183330, 157.166670)"
Elephant Moraine 87788,83.8,"(-76.272820, 156.514850)"
Elephant Moraine 87789,45.9,"(-76.282630, 156.455220)"
Elephant Moraine 87790,175.4,"(-76.183330, 157.166670)"
Elephant Moraine 87791,5.5,"(-76.282590, 156.458770)"
Elephant Moraine 87792,36.4,"(-76.261370, 157.150940)"
Elephant Moraine 87793,1.3,"(-76.183330, 157.166670)"
Elephant Moraine 87794,77.0,"(-76.262070, 157.068760)"
Elephant Moraine 87795,5.8,"(-76.284740, 156.449280)"
Elephant Moraine 87796,12.5,"(-76.281400, 156.450610)"
Elephant Moraine 87797,2.2,"(-76.282180, 156.448790)"
Elephant Moraine 87798,35.70000000000001,"(-76.270220, 156.460790)"
Elephant Moraine 87799,12.4,"(-76.282560, 156.458130)"
Elephant Moraine 87800,20.3,"(-76.281870, 156.456760)"
Elephant Moraine 87801,6.8,"(-76.285410, 156.452740)"
Elephant Moraine 87802,1.3,"(-76.284780, 156.452770)"
Elephant Moraine 87803,9.0,"(-76.268300, 156.486200)"
Elephant Moraine 87804,40.2,"(-76.280360, 156.456850)"
Elephant Moraine 87805,62.7,"(-76.183330, 157.166670)"
Elephant Moraine 87806,79.4,"(-76.282840, 157.171490)"
Elephant Moraine 87807,120.1,"(-76.183330, 157.166670)"
Elephant Moraine 87808,6.6,"(-76.043640, 156.086260)"
Elephant Moraine 87809,33.4,"(-76.283530, 156.448330)"
Elephant Moraine 87810,12.9,"(-76.282640, 156.453550)"
Elephant Moraine 87811,18.1,"(-76.268610, 156.481470)"
Elephant Moraine 87812,11.9,"(-76.039620, 156.045980)"
Elephant Moraine 87813,0.9,"(-76.037550, 156.105960)"
Elephant Moraine 87814,13.5,"(-76.282580, 156.452470)"
Elephant Moraine 87815,24.2,"(-76.283830, 156.456940)"
Elephant Moraine 87816,3.3,"(-76.183330, 157.166670)"
Elephant Moraine 87817,61.8,"(-76.270540, 156.464740)"
Elephant Moraine 87818,90.6,"(-76.183330, 157.166670)"
Elephant Moraine 87819,25.9,"(-76.283460, 156.451590)"
Elephant Moraine 87820,221.4,"(-76.268100, 156.470820)"
Elephant Moraine 87821,152.5,"(-76.183330, 157.166670)"
Elephant Moraine 87822,96.2,"(-76.045400, 156.476090)"
Elephant Moraine 87823,95.4,"(-76.183330, 157.166670)"
Elephant Moraine 87824,20.1,"(-76.183330, 157.166670)"
Elephant Moraine 87825,30.9,"(-76.183330, 157.166670)"
Elephant Moraine 87826,24.5,"(-76.284860, 156.452980)"
Elephant Moraine 87827,67.8,"(-76.183330, 157.166670)"
Elephant Moraine 87828,14.8,"(-76.283910, 156.453950)"
Elephant Moraine 87829,116.2,"(-76.281310, 156.454690)"
Elephant Moraine 87830,70.8,"(-76.284090, 156.455090)"
Elephant Moraine 87831,16.7,"(-76.284690, 156.448350)"
Elephant Moraine 87832,12.6,"(-76.267780, 156.485980)"
Elephant Moraine 87833,5.7,"(-76.284480, 156.447990)"
Elephant Moraine 87834,0.8,"(-76.183330, 157.166670)"
Elephant Moraine 87835,1.7,"(-76.284380, 156.450860)"
Elephant Moraine 87836,13.2,"(-76.281810, 156.457040)"
Elephant Moraine 87837,1.6,"(-76.183330, 157.166670)"
Elephant Moraine 87838,13.3,"(-76.278270, 157.156070)"
Elephant Moraine 87839,12.1,"(-76.284420, 156.445810)"
Elephant Moraine 87840,81.7,"(-76.278600, 157.226870)"
Elephant Moraine 87841,18.6,"(-76.283260, 156.448870)"
Elephant Moraine 87842,29.8,"(-76.269070, 156.509280)"
Elephant Moraine 87843,78.59999999999998,"(-76.183330, 157.166670)"
Elephant Moraine 87844,35.9,"(-76.183330, 157.166670)"
Elephant Moraine 87845,15.1,"(-76.284770, 156.452770)"
Elephant Moraine 87846,8.1,"(-76.055990, 156.067130)"
Elephant Moraine 87847,32.9,"(-76.045450, 156.077270)"
Elephant Moraine 87848,1.5,"(-76.183330, 157.166670)"
Elephant Moraine 87849,12.7,"(-76.281320, 156.459010)"
Elephant Moraine 87850,14.5,"(-76.032640, 156.032900)"
Elephant Moraine 87851,18.5,"(-76.041950, 156.094870)"
Elephant Moraine 87852,3.8,"(-76.037360, 156.108560)"
Elephant Moraine 87853,6.2,"(-76.183330, 157.166670)"
Elephant Moraine 87854,3.8,"(-76.284510, 156.450410)"
Elephant Moraine 87855,29.0,"(-76.283420, 156.452640)"
Elephant Moraine 87856,4.3,"(-76.271410, 156.512110)"
Elephant Moraine 87857,22.6,"(-76.282780, 156.453910)"
Elephant Moraine 87858,31.9,"(-76.281040, 156.462560)"
Elephant Moraine 87859,33.0,"(-76.183330, 157.166670)"
Elephant Moraine 87860,32.8,"(-76.282450, 156.488650)"
Elephant Moraine 90001,53.2,"(-76.293870, 156.440760)"
Elephant Moraine 90002,28.0,"(-76.279290, 156.395670)"
Elephant Moraine 90003,30.8,"(-76.291450, 156.411000)"
Elephant Moraine 90004,56.7,"(-76.288370, 156.459710)"
Elephant Moraine 90005,42.3,"(-76.271900, 156.439890)"
Elephant Moraine 90006,23.9,"(-76.285230, 156.447810)"
Elephant Moraine 90007,131.0,"(-76.286510, 156.370910)"
Elephant Moraine 90008,40.0,"(-76.278430, 156.396530)"
Elephant Moraine 90009,30.1,"(-76.281690, 156.402670)"
Elephant Moraine 90010,10.0,"(-76.282870, 156.439930)"
Elephant Moraine 90011,305.1,"(-76.275170, 156.409510)"
Elephant Moraine 90012,226.1,"(-76.269380, 156.486100)"
Elephant Moraine 90013,36.3,"(-76.279750, 156.412610)"
Elephant Moraine 90014,20.8,"(-76.285470, 156.433030)"
Elephant Moraine 90015,86.8,"(-76.291450, 156.411190)"
Elephant Moraine 90016,45.1,"(-76.290260, 156.434820)"
Elephant Moraine 90017,15.6,"(-76.271590, 156.414510)"
Elephant Moraine 90018,31.4,"(-76.288500, 156.451900)"
Elephant Moraine 90019,21.5,"(-76.281000, 156.394680)"
Elephant Moraine 90020,154.0,"(-76.269300, 156.413680)"
Elephant Moraine 90021,19.6,"(-76.268110, 156.456200)"
Elephant Moraine 90022,15.5,"(-76.285730, 156.457210)"
Elephant Moraine 90023,31.5,"(-76.275070, 156.410380)"
Elephant Moraine 90024,22.8,"(-76.288430, 156.478720)"
Elephant Moraine 90025,45.8,"(-76.282000, 156.399260)"
Elephant Moraine 90026,61.5,"(-76.292260, 156.453530)"
Elephant Moraine 90027,6.2,"(-76.270750, 156.420870)"
Elephant Moraine 90028,31.3,"(-76.280250, 156.470350)"
Elephant Moraine 90029,7.9,"(-76.273860, 156.374510)"
Elephant Moraine 90030,75.3,"(-76.275040, 156.426190)"
Elephant Moraine 90031,55.8,"(-76.278450, 156.413500)"
Elephant Moraine 90032,30.0,"(-76.279440, 156.416780)"
Elephant Moraine 90033,3.9,"(-76.286100, 156.442890)"
Elephant Moraine 90034,1413.6,"(-76.281930, 156.401610)"
Elephant Moraine 90035,1.3,"(-76.265830, 156.505320)"
Elephant Moraine 90036,21.2,"(-76.279310, 156.419390)"
Elephant Moraine 90037,6.0,"(-76.291510, 156.442060)"
Elephant Moraine 90038,5.5,"(-76.273430, 156.490530)"
Elephant Moraine 90039,5.8,"(-76.278930, 156.515250)"
Elephant Moraine 90040,13.1,"(-76.273770, 156.488180)"
Elephant Moraine 90041,2.2,"(-76.288090, 156.440160)"
Elephant Moraine 90042,14.2,"(-76.279720, 156.472190)"
Elephant Moraine 90043,12.5,"(-76.268300, 156.427320)"
Elephant Moraine 90044,11.5,"(-76.270680, 156.436560)"
Elephant Moraine 90045,6.6,"(-76.276600, 156.488960)"
Elephant Moraine 90046,5.3,"(-76.265890, 156.515830)"
Elephant Moraine 90047,1.2,"(-76.265350, 156.494420)"
Elephant Moraine 90048,12.4,"(-76.286120, 156.463190)"
Elephant Moraine 90049,18.0,"(-76.281430, 156.403130)"
Elephant Moraine 90050,4.1,"(-76.265680, 156.488700)"
Elephant Moraine 90051,715.4,"(-76.183330, 157.166670)"
Elephant Moraine 90052,10.7,"(-76.279410, 156.427320)"
Elephant Moraine 90053,427.9,"(-76.183330, 157.166670)"
Elephant Moraine 90054,311.5,"(-76.290630, 156.367560)"
Elephant Moraine 90055,38.9,"(-76.272890, 156.481260)"
Elephant Moraine 90056,89.2,"(-76.270820, 156.459210)"
Elephant Moraine 90057,22.1,"(-76.281410, 156.475030)"
Elephant Moraine 90058,16.9,"(-76.283160, 156.507040)"
Elephant Moraine 90059,83.9,"(-76.279060, 156.440600)"
Elephant Moraine 90060,5.3,"(-76.278550, 156.423190)"
Elephant Moraine 90061,10.1,"(-76.267540, 156.450270)"
Elephant Moraine 90062,43.4,"(-76.279000, 156.423110)"
Elephant Moraine 90063,44.3,"(-76.279270, 156.423940)"
Elephant Moraine 90064,35.5,"(-76.278690, 156.451480)"
Elephant Moraine 90065,17.2,"(-76.282420, 156.427910)"
Elephant Moraine 90066,9.8,"(-76.277130, 156.461460)"
Elephant Moraine 90067,37.3,"(-76.280690, 156.425560)"
Elephant Moraine 90068,5.5,"(-76.266680, 156.450380)"
Elephant Moraine 90069,21.1,"(-76.269030, 156.465170)"
Elephant Moraine 90070,106.5,"(-76.267990, 156.455970)"
Elephant Moraine 90071,103.4,"(-76.290260, 156.452070)"
Elephant Moraine 90073,60.7,"(-76.286770, 156.392460)"
Elephant Moraine 90074,26.6,"(-76.287390, 156.482650)"
Elephant Moraine 90075,18.3,"(-76.282790, 156.417800)"
Elephant Moraine 90076,150.5,"(-76.277760, 156.475300)"
Elephant Moraine 90077,65.3,"(-76.266590, 156.462440)"
Elephant Moraine 90078,22.9,"(-76.266990, 156.458950)"
Elephant Moraine 90079,40.8,"(-76.280010, 156.432590)"
Elephant Moraine 90080,4.1,"(-76.270080, 156.541710)"
Elephant Moraine 90081,39.1,"(-76.280720, 156.501430)"
Elephant Moraine 90082,28.6,"(-76.279920, 156.431520)"
Elephant Moraine 90083,3.6,"(-76.288630, 156.432920)"
Elephant Moraine 90084,25.4,"(-76.281440, 156.430030)"
Elephant Moraine 90085,2.4,"(-76.288800, 156.422570)"
Elephant Moraine 90086,30.5,"(-76.283780, 156.453970)"
Elephant Moraine 90087,22.7,"(-76.279550, 156.465410)"
Elephant Moraine 90088,17.2,"(-76.270560, 156.452290)"
Elephant Moraine 90089,32.7,"(-76.277950, 156.444600)"
Elephant Moraine 90090,16.7,"(-76.280640, 156.471200)"
Elephant Moraine 90091,3.9,"(-76.288680, 156.466990)"
Elephant Moraine 90092,9.0,"(-76.280780, 156.431410)"
Elephant Moraine 90093,5.8,"(-76.288940, 156.414020)"
Elephant Moraine 90094,8.9,"(-76.269350, 156.485670)"
Elephant Moraine 90095,6.5,"(-76.270710, 156.447770)"
Elephant Moraine 90096,11.9,"(-76.275950, 156.469860)"
Elephant Moraine 90097,18.6,"(-76.285630, 156.420330)"
Elephant Moraine 90098,4.7,"(-76.270730, 156.447420)"
Elephant Moraine 90099,11.7,"(-76.267870, 156.448780)"
Elephant Moraine 90100,12.8,"(-76.279230, 156.481560)"
Elephant Moraine 90101,12.8,"(-76.281130, 156.470620)"
Elephant Moraine 90102,17.0,"(-76.276830, 156.473000)"
Elephant Moraine 90103,6.2,"(-76.286380, 156.418720)"
Elephant Moraine 90104,1.3,"(-76.281530, 156.413000)"
Elephant Moraine 90105,8.5,"(-76.278090, 156.454510)"
Elephant Moraine 90106,3.0,"(-76.277300, 156.459500)"
Elephant Moraine 90107,1.0,"(-76.283490, 156.427910)"
Elephant Moraine 90108,15.4,"(-76.270670, 156.453160)"
Elephant Moraine 90109,33.5,"(-76.279040, 156.413920)"
Elephant Moraine 90110,74.0,"(-76.272710, 156.447000)"
Elephant Moraine 90111,74.4,"(-76.271720, 156.450390)"
Elephant Moraine 90112,20.0,"(-76.268570, 156.452130)"
Elephant Moraine 90113,78.2,"(-76.278710, 156.440650)"
Elephant Moraine 90114,65.4,"(-76.278400, 156.419760)"
Elephant Moraine 90115,238.4,"(-76.269670, 156.455790)"
Elephant Moraine 90116,66.4,"(-76.279220, 156.448650)"
Elephant Moraine 90117,26.1,"(-76.270680, 156.452240)"
Elephant Moraine 90118,64.6,"(-76.280430, 156.474180)"
Elephant Moraine 90119,47.1,"(-76.279360, 156.423580)"
Elephant Moraine 90120,35.3,"(-76.279160, 156.425480)"
Elephant Moraine 90121,232.2,"(-76.280000, 156.469540)"
Elephant Moraine 90122,13.0,"(-76.266780, 156.459930)"
Elephant Moraine 90123,39.2,"(-76.280560, 156.426800)"
Elephant Moraine 90124,33.2,"(-76.271850, 156.465090)"
Elephant Moraine 90125,90.2,"(-76.281500, 156.429930)"
Elephant Moraine 90126,5.5,"(-76.279750, 156.431240)"
Elephant Moraine 90127,14.6,"(-76.278600, 156.423350)"
Elephant Moraine 90128,50.1,"(-76.271090, 156.442020)"
Elephant Moraine 90129,50.0,"(-76.279430, 156.428590)"
Elephant Moraine 90130,21.8,"(-76.281160, 156.478760)"
Elephant Moraine 90131,26.9,"(-76.285850, 156.455130)"
Elephant Moraine 90132,20.6,"(-76.278210, 156.420070)"
Elephant Moraine 90133,52.4,"(-76.272980, 156.437440)"
Elephant Moraine 90134,21.9,"(-76.268650, 156.466330)"
Elephant Moraine 90135,15.5,"(-76.268620, 156.455230)"
Elephant Moraine 90136,37.9,"(-76.281110, 156.419510)"
Elephant Moraine 90137,29.1,"(-76.270410, 156.450930)"
Elephant Moraine 90138,74.8,"(-76.272850, 156.451200)"
Elephant Moraine 90139,13.9,"(-76.280820, 156.468700)"
Elephant Moraine 90140,2.1,"(-76.290840, 156.411950)"
Elephant Moraine 90141,12.3,"(-76.276680, 156.446000)"
Elephant Moraine 90142,9.7,"(-76.287420, 156.416090)"
Elephant Moraine 90143,69.2,"(-76.281370, 156.494520)"
Elephant Moraine 90144,74.3,"(-76.282530, 156.493750)"
Elephant Moraine 90145,26.8,"(-76.280220, 156.514180)"
Elephant Moraine 90146,104.1,"(-76.269620, 156.494710)"
Elephant Moraine 90147,61.4,"(-76.284150, 156.486290)"
Elephant Moraine 90148,66.9,"(-76.277740, 156.522040)"
Elephant Moraine 90149,175.4,"(-76.269850, 156.495680)"
Elephant Moraine 90150,36.2,"(-76.287300, 156.477760)"
Elephant Moraine 90151,17.9,"(-76.268640, 156.501200)"
Elephant Moraine 90152,76.59999999999998,"(-76.282260, 156.512380)"
Elephant Moraine 90153,15.6,"(-76.279510, 156.508570)"
Elephant Moraine 90154,18.1,"(-76.273920, 156.508910)"
Elephant Moraine 90155,26.2,"(-76.283270, 156.487870)"
Elephant Moraine 90156,51.0,"(-76.285510, 156.473110)"
Elephant Moraine 90157,101.4,"(-76.277380, 156.512480)"
Elephant Moraine 90158,79.0,"(-76.284680, 156.475160)"
Elephant Moraine 90159,47.1,"(-76.278370, 156.502250)"
Elephant Moraine 90160,21.3,"(-76.282790, 156.496860)"
Elephant Moraine 90161,9.7,"(-76.282400, 156.516720)"
Elephant Moraine 90162,8.3,"(-76.279930, 156.481140)"
Elephant Moraine 90163,9.0,"(-76.287320, 156.476700)"
Elephant Moraine 90164,19.4,"(-76.287880, 156.470240)"
Elephant Moraine 90165,103.6,"(-76.282220, 156.510700)"
Elephant Moraine 90166,104.2,"(-76.282860, 156.501810)"
Elephant Moraine 90167,130.0,"(-76.273180, 156.525360)"
Elephant Moraine 90168,19.6,"(-76.267990, 156.503220)"
Elephant Moraine 90169,73.4,"(-76.276340, 156.516950)"
Elephant Moraine 90170,16.3,"(-76.274600, 156.528330)"
Elephant Moraine 90171,42.4,"(-76.284570, 156.488340)"
Elephant Moraine 90172,15.3,"(-76.279370, 156.499580)"
Elephant Moraine 90173,24.5,"(-76.284380, 156.476930)"
Elephant Moraine 90174,20.0,"(-76.286290, 156.489890)"
Elephant Moraine 90175,82.8,"(-76.268640, 156.531240)"
Elephant Moraine 90176,33.6,"(-76.284190, 156.487860)"
Elephant Moraine 90177,91.2,"(-76.274790, 156.519610)"
Elephant Moraine 90178,280.4,"(-76.267090, 156.497260)"
Elephant Moraine 90179,21.6,"(-76.274140, 156.505600)"
Elephant Moraine 90180,14.9,"(-76.284730, 156.485030)"
Elephant Moraine 90181,15.4,"(-76.274660, 156.499130)"
Elephant Moraine 90182,70.3,"(-76.280780, 156.487090)"
Elephant Moraine 90183,21.3,"(-76.282980, 156.478460)"
Elephant Moraine 90184,25.0,"(-76.273630, 156.488380)"
Elephant Moraine 90185,21.9,"(-76.276950, 156.497080)"
Elephant Moraine 90186,19.5,"(-76.280710, 156.481230)"
Elephant Moraine 90187,45.9,"(-76.279830, 156.482670)"
Elephant Moraine 90188,49.6,"(-76.284040, 156.486500)"
Elephant Moraine 90189,7.8,"(-76.280770, 156.496800)"
Elephant Moraine 90190,5.4,"(-76.265930, 156.522490)"
Elephant Moraine 90192,24.7,"(-76.277750, 156.512070)"
Elephant Moraine 90193,26.7,"(-76.282970, 156.503080)"
Elephant Moraine 90194,7.2,"(-76.284020, 156.477690)"
Elephant Moraine 90195,7.7,"(-76.287490, 156.477900)"
Elephant Moraine 90196,62.3,"(-76.281260, 156.483580)"
Elephant Moraine 90197,24.4,"(-76.282230, 156.492490)"
Elephant Moraine 90198,24.3,"(-76.286100, 156.477620)"
Elephant Moraine 90199,27.9,"(-76.279130, 156.501430)"
Elephant Moraine 90200,6.7,"(-76.285400, 156.485900)"
Elephant Moraine 90201,10.8,"(-76.273500, 156.507870)"
Elephant Moraine 90202,23.8,"(-76.268820, 156.504040)"
Elephant Moraine 90203,51.5,"(-76.286550, 156.487570)"
Elephant Moraine 90204,143.4,"(-76.274930, 156.500630)"
Elephant Moraine 90205,46.0,"(-76.282090, 156.490890)"
Elephant Moraine 90206,25.6,"(-76.285910, 156.495510)"
Elephant Moraine 90207,114.0,"(-76.282030, 156.509750)"
Elephant Moraine 90208,31.4,"(-76.284080, 156.481260)"
Elephant Moraine 90209,36.4,"(-76.284480, 156.474320)"
Elephant Moraine 90210,20.5,"(-76.285830, 156.486900)"
Elephant Moraine 90211,23.1,"(-76.277840, 156.489750)"
Elephant Moraine 90212,11.5,"(-76.268610, 156.495830)"
Elephant Moraine 90213,60.5,"(-76.283240, 156.512280)"
Elephant Moraine 90214,38.5,"(-76.285920, 156.489510)"
Elephant Moraine 90215,25.0,"(-76.278600, 156.526370)"
Elephant Moraine 90216,28.9,"(-76.271900, 156.502000)"
Elephant Moraine 90217,23.2,"(-76.271330, 156.523690)"
Elephant Moraine 90218,15.6,"(-76.283160, 156.471620)"
Elephant Moraine 90219,8.6,"(-76.273270, 156.496410)"
Elephant Moraine 90220,16.8,"(-76.280600, 156.521970)"
Elephant Moraine 90221,67.3,"(-76.284790, 156.503020)"
Elephant Moraine 90222,28.6,"(-76.288400, 156.475010)"
Elephant Moraine 90223,21.0,"(-76.279010, 156.498370)"
Elephant Moraine 90224,8.7,"(-76.275910, 156.499370)"
Elephant Moraine 90225,2.2,"(-76.268130, 156.495460)"
Elephant Moraine 90226,22.4,"(-76.274070, 156.500420)"
Elephant Moraine 90227,5.8,"(-76.283920, 156.473980)"
Elephant Moraine 90228,6.0,"(-76.283680, 156.480110)"
Elephant Moraine 90229,245.5,"(-76.280550, 156.437310)"
Elephant Moraine 90230,105.3,"(-76.265830, 156.403120)"
Elephant Moraine 90231,33.9,"(-76.293670, 156.441890)"
Elephant Moraine 90232,16.9,"(-76.287950, 156.468410)"
Elephant Moraine 90233,6.6,"(-76.288170, 156.479060)"
Elephant Moraine 90234,8.5,"(-76.265770, 156.409930)"
Elephant Moraine 90235,36.2,"(-76.275730, 156.405260)"
Elephant Moraine 90236,1.6,"(-76.267610, 156.533790)"
Elephant Moraine 90237,157.2,"(-76.264920, 156.541710)"
Elephant Moraine 90238,150.1,"(-76.266670, 156.538130)"
Elephant Moraine 90239,78.8,"(-76.273180, 156.366330)"
Elephant Moraine 90240,11.0,"(-76.266340, 156.403500)"
Elephant Moraine 90241,9.1,"(-76.286820, 156.450750)"
Elephant Moraine 90242,15.3,"(-76.274820, 156.490480)"
Elephant Moraine 90243,21.7,"(-76.266410, 156.403770)"
Elephant Moraine 90244,44.8,"(-76.277080, 156.503620)"
Elephant Moraine 90245,19.0,"(-76.287600, 156.468100)"
Elephant Moraine 90246,362.9,"(-76.267900, 156.545160)"
Elephant Moraine 90247,37.1,"(-76.295410, 156.462380)"
Elephant Moraine 90248,0.4,"(-76.294290, 156.459130)"
Elephant Moraine 90249,8.3,"(-76.282100, 156.449470)"
Elephant Moraine 90250,13.5,"(-76.266000, 156.403290)"
Elephant Moraine 90251,45.4,"(-76.266530, 156.402770)"
Elephant Moraine 90252,12.2,"(-76.286290, 156.441650)"
Elephant Moraine 90253,6.5,"(-76.264440, 156.556810)"
Elephant Moraine 90254,12.8,"(-76.278020, 156.529860)"
Elephant Moraine 90255,8.3,"(-76.272770, 156.531820)"
Elephant Moraine 90256,3.2,"(-76.282080, 156.449500)"
Elephant Moraine 90257,11.0,"(-76.276200, 156.359390)"
Elephant Moraine 90258,10.5,"(-76.287160, 156.446890)"
Elephant Moraine 90259,22.9,"(-76.273080, 156.485120)"
Elephant Moraine 90260,7.3,"(-76.289150, 156.462000)"
Elephant Moraine 90261,6.6,"(-76.273590, 156.484140)"
Elephant Moraine 90262,9.2,"(-76.287520, 156.447370)"
Elephant Moraine 90263,4.8,"(-76.288990, 156.456980)"
Elephant Moraine 90264,2.8,"(-76.273110, 156.489280)"
Elephant Moraine 90265,3.0,"(-76.274040, 156.486120)"
Elephant Moraine 90266,101.7,"(-76.279180, 156.477550)"
Elephant Moraine 90267,88.5,"(-76.278370, 156.477690)"
Elephant Moraine 90268,7.2,"(-76.283100, 156.426900)"
Elephant Moraine 90269,9.2,"(-76.268490, 156.455140)"
Elephant Moraine 90270,32.9,"(-76.286850, 156.476090)"
Elephant Moraine 90271,17.8,"(-76.281090, 156.435790)"
Elephant Moraine 90272,28.1,"(-76.270560, 156.453250)"
Elephant Moraine 90273,8.6,"(-76.281310, 156.432120)"
Elephant Moraine 90274,55.5,"(-76.280620, 156.474830)"
Elephant Moraine 90275,19.5,"(-76.287990, 156.478130)"
Elephant Moraine 90276,15.3,"(-76.283540, 156.434240)"
Elephant Moraine 90277,13.5,"(-76.279800, 156.477170)"
Elephant Moraine 90278,5.6,"(-76.289460, 156.417010)"
Elephant Moraine 90279,17.4,"(-76.272740, 156.451520)"
Elephant Moraine 90280,11.1,"(-76.267370, 156.456760)"
Elephant Moraine 90281,52.6,"(-76.281250, 156.473020)"
Elephant Moraine 90282,15.3,"(-76.279850, 156.476360)"
Elephant Moraine 90283,81.5,"(-76.280000, 156.473320)"
Elephant Moraine 90284,51.6,"(-76.278510, 156.462430)"
Elephant Moraine 90285,77.4,"(-76.280060, 156.470380)"
Elephant Moraine 90286,23.8,"(-76.280240, 156.439240)"
Elephant Moraine 90287,13.8,"(-76.280540, 156.468430)"
Elephant Moraine 90288,5.7,"(-76.270720, 156.451590)"
Elephant Moraine 90289,33.1,"(-76.288150, 156.464500)"
Elephant Moraine 90290,47.5,"(-76.281020, 156.465490)"
Elephant Moraine 90291,11.1,"(-76.271420, 156.456020)"
Elephant Moraine 90292,20.4,"(-76.279810, 156.431390)"
Elephant Moraine 90293,13.4,"(-76.287730, 156.421670)"
Elephant Moraine 90294,14.5,"(-76.281010, 156.432830)"
Elephant Moraine 90295,12.4,"(-76.282020, 156.435840)"
