name,mass,GeoLocation,KE,crater_diameter,crater_depth
Queen Alexandra Range 93355,3.2,"(-84.000000, 168.000000)",640000.0,35.44906347727989,5.078728313056676
Queen Alexandra Range 93356,48.4,"(-84.000000, 168.000000)",9680000.0,78.80489203117973,11.290245696410075
Queen Alexandra Range 93357,4.0,"(-84.000000, 168.000000)",800000.0,37.85349648169135,5.423207426988106
Queen Alexandra Range 93358,10.3,"(-84.000000, 168.000000)",2060000.0,49.99373516729579,7.162519213866836
Queen Alexandra Range 93359,2.8,"(-84.000000, 168.000000)",560000.0,34.08390408647271,4.883144199688734
Queen Alexandra Range 93360,12.4,"(-84.000000, 168.000000)",2480000.0,52.79775727352522,7.5642467932278965
Queen Alexandra Range 93361,3.6,"(-84.000000, 168.000000)",720000.0,36.698534606509035,5.257737961772221
Queen Alexandra Range 93362,4.4,"(-84.000000, 168.000000)",880000.0,38.929568471067014,5.577374469590856
Queen Alexandra Range 93363,4.4,"(-84.000000, 168.000000)",880000.0,38.929568471067014,5.577374469590856
Queen Alexandra Range 93364,2.1,"(-84.000000, 168.000000)",420000.00000000006,31.318781152588382,4.486989639994898
Queen Alexandra Range 93365,3.8,"(-84.000000, 168.000000)",760000.0,37.28674848621809,5.342010385130484
Queen Alexandra Range 93366,11.7,"(-84.000000, 168.000000)",2339999.9999999995,51.90313846389233,7.436076245625484
Queen Alexandra Range 93367,39.2,"(-84.000000, 168.000000)",7840000.000000001,74.06714247471324,10.611476204290211
Queen Alexandra Range 93368,50.4,"(-84.000000, 168.000000)",10080000.0,79.74895083665861,11.425499429915588
Queen Alexandra Range 93369,69.5,"(-84.000000, 168.000000)",13900000.000000002,87.65322276557717,12.557931311091428
Queen Alexandra Range 93370,92.4,"(-84.000000, 168.000000)",18480000.000000004,95.31127609561675,13.655087863480956
Queen Alexandra Range 93371,48.5,"(-84.000000, 168.000000)",9700000.0,78.852742521746,11.297101156537767
Queen Alexandra Range 93372,7.4,"(-84.611240, 161.949020)",1480000.0,45.360852321377585,6.498773800797751
Queen Alexandra Range 93373,35.20000000000001,"(-84.000000, 168.000000)",7040000.000000002,71.75932664164236,10.280839271660112
Queen Alexandra Range 93374,62.7,"(-84.000000, 168.000000)",12540000.000000002,85.03868606152389,12.183350989867659
Queen Alexandra Range 93375,13.2,"(-84.000000, 168.000000)",2640000.0,53.77754231431982,7.704618964994357
Queen Alexandra Range 93376,7.7,"(-84.000000, 168.000000)",1540000.0,45.89412347727684,6.575174671577816
Queen Alexandra Range 93377,7.7,"(-84.000000, 168.000000)",1540000.0,45.89412347727684,6.575174671577816
Queen Alexandra Range 93378,0.5,"(-84.000000, 168.000000)",100000.0,20.535592404766902,2.942100138648969
Queen Alexandra Range 93379,8.7,"(-84.000000, 168.000000)",1739999.9999999998,47.57214891566191,6.815582582760511
Queen Alexandra Range 93380,3.4,"(-84.000000, 168.000000)",680000.0,36.08677792471403,5.170092600350325
Queen Alexandra Range 93381,3.4,"(-84.000000, 168.000000)",680000.0,36.08677792471403,5.170092600350325
Queen Alexandra Range 93382,2.8,"(-84.000000, 168.000000)",560000.0,34.08390408647271,4.883144199688734
Queen Alexandra Range 93383,2.8,"(-84.000000, 168.000000)",560000.0,34.08390408647271,4.883144199688734
Queen Alexandra Range 93384,0.5,"(-84.000000, 168.000000)",100000.0,20.535592404766902,2.942100138648969
