name,mass,GeoLocation,KE,crater_diameter,crater_depth
Yamato 791631,12.3,"(-71.500000, 35.666670)",2460000.0,59.34302628854151,8.501976589233399
Yamato 791632,534.79,"(-71.500000, 35.666670)",106958000.0,179.96468840322348,25.783241323982267
Yamato 791633,634.33,"(-71.500000, 35.666670)",126866000.00000001,189.22979209870414,27.11063730700456
Yamato 791634,333.77,"(-71.500000, 35.666670)",66753999.99999999,156.66588896157594,22.445261113013824
Yamato 791635,653.0,"(-71.500000, 35.666670)",130600000.0,190.85105428857395,27.342912842065097
Yamato 791636,112.52,"(-71.500000, 35.666670)",22504000.0,113.78768411757787,16.302172083487598
Yamato 791637,109.23,"(-71.500000, 35.666670)",21846000.0,112.79892467056963,16.16051416348242
Yamato 791638,63.72,"(-71.500000, 35.666670)",12744000.0,96.26448680294106,13.791652774728881
Yamato 791639,13.66,"(-71.500000, 35.666670)",2732000.0,61.20186371615533,8.768289133118865
Yamato 791640,8.69,"(-71.500000, 35.666670)",1738000.0,53.578964145440395,7.676169001308031
Yamato 791641,5.37,"(-71.500000, 35.666670)",1074000.0,46.50654044927952,6.662914631678593
Yamato 791642,4.35,"(-71.500000, 35.666670)",869999.9999999999,43.71276591636917,6.2626552050880315
Yamato 791643,2.85,"(-71.500000, 35.666670)",570000.0,38.600992394698714,5.530299922103464
Yamato 791644,134.58,"(-71.500000, 35.666670)",26916000.0,119.93937153913582,17.18351409978558
Yamato 791645,55.95,"(-71.500000, 35.666670)",11190000.0,92.65238507893329,13.274152973722382
Yamato 791646,12.59,"(-71.500000, 35.666670)",2518000.0,59.75113564506417,8.560445737371076
Yamato 791647,4.62,"(-71.500000, 35.666670)",924000.0,44.49383109116129,6.374557112457226
Yamato 791648,5.48,"(-71.500000, 35.666670)",1096000.0,46.78471185647208,6.702767786120801
Yamato 791649,2.32,"(-71.500000, 35.666670)",464000.0,36.3344518858982,5.205576436471388
Yamato 791650,0.78,"(-71.500000, 35.666670)",156000.0,26.36899752381122,3.777842379303882
Yamato 791651,3.05,"(-71.500000, 35.666670)",610000.0,39.37868229714089,5.641718259821831
Yamato 791652,349.1,"(-71.500000, 35.666670)",69820000.0,158.7486889601004,22.74366040160773
Yamato 791653,7.89,"(-71.500000, 35.666670)",1578000.0,52.07855714311671,7.461208187782063
Yamato 791654,3.35,"(-71.500000, 35.666670)",670000.0,40.480351463501016,5.799552567360046
Yamato 791655,48.78,"(-71.500000, 35.666670)",9756000.0,88.98985701807696,12.749428675379285
Yamato 791656,9.96,"(-71.500000, 35.666670)",1992000.0,55.77205772702601,7.990369867943631
Yamato 791657,1.53,"(-71.500000, 35.666670)",306000.0,32.14743645890769,4.605709706285672
Yamato 791658,14.87,"(-71.500000, 35.666670)",2974000.0,62.74877511768224,8.989912554503755
Yamato 791659,10.17,"(-71.500000, 35.666670)",2034000.0,56.11535168167261,8.039553021351402
Yamato 791660,3.25,"(-71.500000, 35.666670)",650000.0,40.121161128115105,5.748091965946134
Yamato 791661,114.1,"(-71.500000, 35.666670)",22820000.0,114.2552868011622,16.369164741556073
Yamato 791662,89.57,"(-71.500000, 35.666670)",17914000.0,106.4044055680452,15.244382056489322
Yamato 791663,50.42,"(-71.500000, 35.666670)",10084000.0,89.85951958969798,12.874023784305876
Yamato 791664,45.54,"(-71.500000, 35.666670)",9108000.0,87.20913639187052,12.494307795592007
Yamato 791665,20.15,"(-71.500000, 35.666670)",4029999.9999999995,68.61449781718144,9.830284881112021
Yamato 791666,9.94,"(-71.500000, 35.666670)",1987999.9999999998,55.739097484981045,7.985647708934092
Yamato 791667,0.45,"(-71.500000, 35.666670)",90000.0,22.430471206311083,3.213576270180097
Yamato 791668,732.0,"(-71.500000, 35.666670)",146400000.0,197.37007480711458,28.276882059675867
Yamato 791669,334.85,"(-71.500000, 35.666670)",66970000.00000001,156.81480811738592,22.46659651256404
Yamato 791670,541.72,"(-71.500000, 35.666670)",108344000.0,180.64742940883275,25.881056491310876
Yamato 791671,13.29,"(-71.500000, 35.666670)",2658000.0,60.709589131635674,8.697761772874198
Yamato 791672,5.13,"(-71.500000, 35.666670)",1026000.0,45.88535688226524,6.5739186961040765
Yamato 791673,2.64,"(-71.500000, 35.666670)",528000.0,37.74177416986874,5.407201157355135
Yamato 791674,50.1,"(-71.500000, 35.666670)",10020000.0,89.69141424120451,12.849939610868763
Yamato 791675,27.85,"(-71.500000, 35.666670)",5570000.0,75.4660619832965,10.811897073532151
Yamato 791676,10.36,"(-71.500000, 35.666670)",2071999.9999999998,56.421665368519065,8.083438073351745
Yamato 791677,473.05,"(-71.500000, 35.666670)",94610000.0,173.58762420388896,24.869609951912363
Yamato 791678,259.1,"(-71.500000, 35.666670)",51820000.0,145.42174876766262,20.834331865322792
Yamato 791679,18.46,"(-71.500000, 35.666670)",3692000.0,66.86938650631217,9.580265688654999
Yamato 791680,284.98,"(-71.500000, 35.666670)",56996000.0,149.55106377536157,21.425931952489318
Yamato 791681,71.06999999999998,"(-71.500000, 35.666670)",14213999.999999996,99.40530041852688,14.241631912985472
Yamato 791682,123.73,"(-71.500000, 35.666670)",24746000.0,117.0106786143773,16.763925139790828
Yamato 791683,96.6,"(-71.500000, 35.666670)",19320000.0,108.7953590173984,15.586929977006694
Yamato 791684,33.01,"(-71.500000, 35.666670)",6602000.0,79.33452859144043,11.366125844723442
Yamato 791685,27.02,"(-71.500000, 35.666670)",5404000.0,74.79753000616645,10.716117610060282
Yamato 791686,19.03,"(-71.500000, 35.666670)",3806000.0000000005,67.47012960749609,9.666333152716827
Yamato 791687,6.82,"(-71.500000, 35.666670)",1364000.0,49.89357017777556,7.148168742560888
Yamato 791688,5.67,"(-71.500000, 35.666670)",1134000.0,47.256045325704136,6.770294947638461
Yamato 791689,2.68,"(-71.500000, 35.666670)",536000.0,37.90906209433813,5.431168219813068
Yamato 791690,2.26,"(-71.500000, 35.666670)",452000.0,36.05553040351743,5.1656158200056
Yamato 791691,1.06,"(-71.500000, 35.666670)",212000.0,28.858320459301538,4.134483532346443
Yamato 791692,0.4,"(-71.500000, 35.666670)",80000.0,21.666783323734958,3.1041639785390633
Yamato 791694,70.89,"(-71.500000, 35.666670)",14177999.999999998,99.33118998263406,14.231014234205238
Yamato 791695,352.1,"(-71.500000, 35.666670)",70420000.0,159.14869241551622,22.80096823078756
Yamato 791696,0.81,"(-71.500000, 35.666670)",162000.0,26.663308699812298,3.8200078515557423
Yamato 791697,1.44,"(-71.500000, 35.666670)",288000.0,31.57933684301552,4.5243190200206485
Yamato 791699,2.91,"(-71.500000, 35.666670)",582000.0,38.838238544280635,5.564289783015238
Yamato 791700,1.39,"(-71.500000, 35.666670)",278000.0,31.252822798790685,4.477539896445829
Yamato 791703,25.48,"(-71.500000, 35.666670)",5096000.0,73.51768909629043,10.532756933427411
Yamato 791704,93.1,"(-71.500000, 35.666670)",18619999.999999996,107.62091941944878,15.418669970874106
Yamato 791705,172.47,"(-71.500000, 35.666670)",34494000.0,129.0167375766968,18.484013221080776
Yamato 791706,341.1,"(-71.500000, 35.666670)",68220000.0,157.6700155525678,22.589120658156165
Yamato 791708,126.98,"(-71.500000, 35.666670)",25396000.000000004,117.9063391353467,16.892244931642306
Yamato 791709,174.32,"(-71.500000, 35.666670)",34864000.0,129.42221055345786,18.542104659478735
Yamato 791710,1607.0,"(-71.500000, 35.666670)",321400000.0,248.7240989002032,35.6342876034958
Yamato 791711,28.91,"(-71.500000, 35.666670)",5782000.0,76.29970178715271,10.931331260487447
Yamato 791712,14.24,"(-71.500000, 35.666670)",2848000.0,61.95493199891036,8.876179972371762
Yamato 791713,2.79,"(-71.500000, 35.666670)",558000.0,38.36019383161078,5.495801112822314
Yamato 791714,3.59,"(-71.500000, 35.666670)",718000.0,41.312537791577036,5.918778517259884
Yamato 791715,13.39,"(-71.500000, 35.666670)",2678000.0,60.843580661480864,8.71695851630215
Yamato 791716,193.21,"(-71.500000, 35.666670)",38642000.00000001,133.39817935807943,19.11173509140266
Yamato 791717,25322.0,"(-71.500000, 35.666670)",5064400000.0,559.6253253695734,80.1765887688296
